"filename", "language", "Dart", "comment", "blank", "total"
"/home/essam/Dev/car_rental/lib/constants.dart", "Dart", -7, -2, -1, -10
"/home/essam/Dev/car_rental/lib/core/constants/api_constants.dart", "Dart", 1, 0, 1, 2
"/home/essam/Dev/car_rental/lib/core/constants/auth_keys.dart", "Dart", 4, 0, 0, 4
"/home/essam/Dev/car_rental/lib/core/constants/preferences_keys.dart", "Dart", 2, 0, 1, 3
"/home/essam/Dev/car_rental/lib/core/models/auth_response_model.dart", "Dart", -129, 0, -22, -151
"/home/essam/Dev/car_rental/lib/core/services/quent_auth_service.dart", "Dart", 3, 0, -1, 2
"/home/essam/Dev/car_rental/lib/features/auth/domain/data/models/country_model/country_model.dart", "Dart", 15, 0, 3, 18
"/home/essam/Dev/car_rental/lib/features/auth/domain/data/models/location_model/location_model.dart", "Dart", 17, 0, 3, 20
"/home/essam/Dev/car_rental/lib/features/auth/domain/data/models/request_password_reset_code_mode/request_password_reset_code_mode.dart", "Dart", 15, 0, 3, 18
"/home/essam/Dev/car_rental/lib/features/auth/domain/data/models/request_verify_phone_model/request_verify_phone_model.dart", "Dart", 15, 0, 3, 18
"/home/essam/Dev/car_rental/lib/features/auth/domain/data/models/reset_password_model/reset_password_model.dart", "Dart", 7, 0, 3, 10
"/home/essam/Dev/car_rental/lib/features/auth/domain/data/models/user_model/user_model.dart", "Dart", 125, 0, 22, 147
"/home/essam/Dev/car_rental/lib/features/auth/domain/entities/country_entity.dart", "Dart", -7, 0, -1, -8
"/home/essam/Dev/car_rental/lib/features/auth/domain/entities/location_entity.dart", "Dart", -8, 0, -1, -9
"/home/essam/Dev/car_rental/lib/features/auth/domain/entities/request_password_reset_code_entity.dart", "Dart", -7, 0, -1, -8
"/home/essam/Dev/car_rental/lib/features/auth/domain/entities/request_verify_phone_entity.dart", "Dart", -7, 0, -1, -8
"/home/essam/Dev/car_rental/lib/features/auth/domain/entities/reset_password_entity.dart", "Dart", -3, 0, -1, -4
"/home/essam/Dev/car_rental/lib/features/auth/presentation/manager/cubits/verify_phone_number/verify_phone_number_cubit.dart", "Dart", -1, 0, -1, -2
"/home/essam/Dev/car_rental/lib/features/auth/presentation/views/reset_your_password_view.dart", "Dart", 0, 0, 1, 1
"/home/essam/Dev/car_rental/lib/features/auth/presentation/views/sign_in_view.dart", "Dart", 0, 0, 1, 1
"/home/essam/Dev/car_rental/lib/features/auth/presentation/views/widgets/country_search_bar_suggestions.dart", "Dart", 1, 0, 0, 1
"/home/essam/Dev/car_rental/lib/features/auth/presentation/views/widgets/location_search_bar_suggetions.dart", "Dart", 1, 0, 0, 1
"/home/essam/Dev/car_rental/lib/features/auth/presentation/views/widgets/sign_in_view_body_bloc_consumer.dart", "Dart", 1, 0, 0, 1
"/home/essam/Dev/car_rental/lib/features/auth/presentation/views/widgets/verification_code_view_body.dart", "Dart", -3, 0, 0, -3
"/home/essam/Dev/car_rental/lib/features/auth/presentation/views/widgets/verify_your_phone_number_view_body.dart", "Dart", -1, 0, -1, -2
"/home/essam/Dev/car_rental/lib/features/home/presentation/views/car_details.dart", "Dart", 9, 0, 3, 12
"/home/essam/Dev/car_rental/lib/features/home/presentation/views/home_view.dart", "Dart", -6, 1, 0, -5
"/home/essam/Dev/car_rental/lib/features/home/presentation/views/widgets/car_details_view_body.dart", "Dart", 8, 0, 3, 11
"/home/essam/Dev/car_rental/lib/features/home/presentation/views/widgets/nearby_car.dart", "Dart", 3, 0, 0, 3
"/home/essam/Dev/car_rental/lib/features/on_boarding/presentation/views/main_view.dart", "Dart", 9, -1, 0, 8
"/home/essam/Dev/car_rental/lib/features/on_boarding/presentation/views/startup_view.dart", "Dart", 1, 0, 0, 1
"/home/essam/Dev/car_rental/lib/features/on_boarding/presentation/views/widgets/main_view_body.dart", "Dart", 16, 0, 3, 19
"Total", "-", 74, -2, 19, 91
