Date : 2025-10-14 05:09:29
Directory : /home/essam/dev/car_rental/lib
Total : 132 files,  6198 codes, 115 comments, 835 blanks, all 7148 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        132 |      6,198 |        115 |        835 |      7,148 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        132 |      6,198 |        115 |        835 |      7,148 |
| . (Files)                                                                                                                              |          1 |         36 |          2 |          6 |         44 |
| constants                                                                                                                              |          1 |         51 |         97 |         50 |        198 |
| core                                                                                                                                   |         21 |        958 |          3 |        117 |      1,078 |
| core (Files)                                                                                                                           |          1 |        247 |          0 |          1 |        248 |
| core/constants                                                                                                                         |          3 |          7 |          0 |          2 |          9 |
| core/entites                                                                                                                           |          1 |          5 |          0 |          2 |          7 |
| core/errors                                                                                                                            |          1 |         59 |          1 |          9 |         69 |
| core/helper_functions                                                                                                                  |          2 |         73 |          0 |          6 |         79 |
| core/models                                                                                                                            |          1 |         10 |          0 |          4 |         14 |
| core/services                                                                                                                          |          5 |        286 |          1 |         58 |        345 |
| core/utils                                                                                                                             |          1 |         23 |          0 |          2 |         25 |
| core/widgets                                                                                                                           |          6 |        248 |          1 |         33 |        282 |
| features                                                                                                                               |        109 |      5,153 |         13 |        662 |      5,828 |
| features/auth                                                                                                                          |         61 |      2,956 |         10 |        399 |      3,365 |
| features/auth/domain                                                                                                                   |         16 |        499 |          0 |         82 |        581 |
| features/auth/domain/data                                                                                                              |          8 |        388 |          0 |         58 |        446 |
| features/auth/domain/data/models                                                                                                       |          7 |        220 |          0 |         40 |        260 |
| features/auth/domain/data/models/country_model                                                                                         |          1 |         15 |          0 |          3 |         18 |
| features/auth/domain/data/models/location_model                                                                                        |          1 |         17 |          0 |          3 |         20 |
| features/auth/domain/data/models/request_password_reset_code_mode                                                                      |          1 |         15 |          0 |          3 |         18 |
| features/auth/domain/data/models/request_verify_phone_model                                                                            |          1 |         15 |          0 |          3 |         18 |
| features/auth/domain/data/models/reset_password_model                                                                                  |          1 |          7 |          0 |          3 |         10 |
| features/auth/domain/data/models/review_model                                                                                          |          1 |         26 |          0 |          3 |         29 |
| features/auth/domain/data/models/user_model                                                                                            |          1 |        125 |          0 |         22 |        147 |
| features/auth/domain/data/repos                                                                                                        |          1 |        168 |          0 |         18 |        186 |
| features/auth/domain/entities                                                                                                          |          7 |         65 |          0 |         15 |         80 |
| features/auth/domain/repos                                                                                                             |          1 |         46 |          0 |          9 |         55 |
| features/auth/presentation                                                                                                             |         45 |      2,457 |         10 |        317 |      2,784 |
| features/auth/presentation/manager                                                                                                     |         14 |        310 |          0 |        112 |        422 |
| features/auth/presentation/manager/cubits                                                                                              |         14 |        310 |          0 |        112 |        422 |
| features/auth/presentation/manager/cubits/get_countries                                                                                |          2 |         34 |          0 |         15 |         49 |
| features/auth/presentation/manager/cubits/get_locations                                                                                |          2 |         34 |          0 |         14 |         48 |
| features/auth/presentation/manager/cubits/otp_cubit                                                                                    |          2 |         18 |          0 |         10 |         28 |
| features/auth/presentation/manager/cubits/reset_password                                                                               |          2 |         71 |          0 |         21 |         92 |
| features/auth/presentation/manager/cubits/sign_in                                                                                      |          2 |         34 |          0 |         15 |         49 |
| features/auth/presentation/manager/cubits/sign_up                                                                                      |          2 |         50 |          0 |         15 |         65 |
| features/auth/presentation/manager/cubits/verify_phone_number                                                                          |          2 |         69 |          0 |         22 |         91 |
| features/auth/presentation/views                                                                                                       |         31 |      2,147 |         10 |        205 |      2,362 |
| features/auth/presentation/views (Files)                                                                                               |          7 |        145 |          0 |         29 |        174 |
| features/auth/presentation/views/widgets                                                                                               |         24 |      2,002 |         10 |        176 |      2,188 |
| features/home                                                                                                                          |         40 |      1,853 |          3 |        215 |      2,071 |
| features/home/domain                                                                                                                   |          7 |        436 |          1 |         51 |        488 |
