"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev\car_rental\lib\constants\assets.dart", "Dart", 53, 101, 52, 206
"c:\Dev\car_rental\lib\core\constants\api_constants.dart", "Dart", 1, 0, 1, 2
"c:\Dev\car_rental\lib\core\constants\auth_keys.dart", "Dart", 4, 0, 0, 4
"c:\Dev\car_rental\lib\core\constants\preferences_keys.dart", "Dart", 2, 0, 1, 3
"c:\Dev\car_rental\lib\core\countries.dart", "Dart", 247, 0, 1, 248
"c:\Dev\car_rental\lib\core\entites\refresh_entite.dart", "Dart", 5, 0, 2, 7
"c:\Dev\car_rental\lib\core\errors\failure.dart", "Dart", 59, 1, 9, 69
"c:\Dev\car_rental\lib\core\helper_functions\on_generate_route.dart", "Dart", 66, 0, 4, 70
"c:\Dev\car_rental\lib\core\helper_functions\show_bars.dart", "Dart", 10, 0, 2, 12
"c:\Dev\car_rental\lib\core\models\refresh_model.dart", "Dart", 10, 0, 4, 14
"c:\Dev\car_rental\lib\core\services\custom_bloc_observer.dart", "Dart", 19, 0, 4, 23
"c:\Dev\car_rental\lib\core\services\data_service.dart", "Dart", 0, 0, 2, 2
"c:\Dev\car_rental\lib\core\services\get_it_service.dart", "Dart", 14, 0, 3, 17
"c:\Dev\car_rental\lib\core\services\quent_auth_service.dart", "Dart", 253, 1, 46, 300
"c:\Dev\car_rental\lib\core\services\shared_preferences_singleton.dart", "Dart", 19, 0, 7, 26
"c:\Dev\car_rental\lib\core\utils\app_text_styles.dart", "Dart", 23, 0, 2, 25
"c:\Dev\car_rental\lib\core\widgets\custom_button.dart", "Dart", 39, 0, 5, 44
"c:\Dev\car_rental\lib\core\widgets\custom_text_form_field.dart", "Dart", 50, 0, 6, 56
"c:\Dev\car_rental\lib\core\widgets\forgot_password.dart", "Dart", 50, 0, 7, 57
"c:\Dev\car_rental\lib\core\widgets\or_divider.dart", "Dart", 21, 0, 4, 25
"c:\Dev\car_rental\lib\core\widgets\password_field.dart", "Dart", 38, 1, 6, 45
"c:\Dev\car_rental\lib\core\widgets\social_login_button.dart", "Dart", 50, 0, 5, 55
"c:\Dev\car_rental\lib\features\auth\domain\data\models\country_model\country_model.dart", "Dart", 15, 0, 3, 18
"c:\Dev\car_rental\lib\features\auth\domain\data\models\location_model\location_model.dart", "Dart", 17, 0, 3, 20
"c:\Dev\car_rental\lib\features\auth\domain\data\models\request_password_reset_code_mode\request_password_reset_code_mode.dart", "Dart", 15, 0, 3, 18
